,Jogador,Tempo de Jogo,Gols,Time,Posicao
0,Juninho,1014.0,1.0,America-MG,LT
1,Aloísio dos Santos Gonçalves,717.0,3.0,America-MG,"AT,LT"
2,Felipe Azevedo,700.0,1.0,America-MG,"LT,AT"
3,Everaldo,684.0,1.0,America-MG,"LT,AT"
4,Danilo Avelar,688.0,3.0,America-MG,ZG
5,Breno Cascardo,459.0,1.0,America-MG,LT
6,Ale,489.0,1.0,America-MG,LT
7,Renato Marques,275.0,1.0,America-MG,"AT,LT"
8,Gonzalo Mastriani,145.0,2.0,America-MG,AT
9,Wellington Paulista,122.0,1.0,America-MG,AT
10,Vitor Roque,923.0,7.0,Atletico-Paranaense,AT
11,Pedro Henrique,810.0,1.0,Atletico-Paranaense,ZG
12,Erick,761.0,1.0,Atletico-Paranaense,LT
13,Christian,737.0,3.0,Atletico-Paranaense,"LT,AT"
14,Vitor Bueno,605.0,1.0,Atletico-Paranaense,"LT,AT"
15,Alex Santana,524.0,1.0,Atletico-Paranaense,LT
16,Agustín Canobbio,536.0,1.0,Atletico-Paranaense,"AT,LT"
17,Pablo,494.0,1.0,Atletico-Paranaense,AT
18,Willian,111.0,2.0,Atletico-Paranaense,"AT,LT"
19,Hulk,998.0,6.0,Atletico-Mineiro,AT
20,Federico Zaracho,937.0,1.0,Atletico-Mineiro,LT
21,Hyoran,646.0,2.0,Atletico-Mineiro,"LT,AT"
22,Paulinho,869.0,3.0,Atletico-Mineiro,"AT,LT"
23,Cristian Pavón,739.0,2.0,Atletico-Mineiro,"AT,LT"
24,Mauricio Lemos,625.0,1.0,Atletico-Mineiro,ZG
25,Eduardo Vargas,377.0,1.0,Atletico-Mineiro,AT
26,Alan Kardec,36.0,1.0,Atletico-Mineiro,"AT,LT"
27,Thaciano,997.0,2.0,Bahia,LT
28,David Duarte,687.0,1.0,Bahia,ZG
29,Everaldo Stum,659.0,2.0,Bahia,AT
30,Vítor Jacaré,630.0,1.0,Bahia,"ZG,LT"
31,Ademir Santos,577.0,1.0,Bahia,"AT,LT"
32,Gabriel Teixeira,461.0,2.0,Bahia,"AT,LT"
33,Kayky Chagas,309.0,2.0,Bahia,"LT,AT"
34,Vinicius Mingotti,288.0,1.0,Bahia,AT
35,Arthur Sales,290.0,1.0,Bahia,"AT,LT"
36,Víctor Cuesta,1080.0,1.0,Botafogo-RJ,ZG
37,Júnior Santos,893.0,2.0,Botafogo-RJ,AT
38,Tiquinho Soares,985.0,10.0,Botafogo-RJ,AT
39,Carlos Eduardo,871.0,2.0,Botafogo-RJ,LT
40,Tchê Tchê,807.0,1.0,Botafogo-RJ,LT
41,João Victor Santos Sá,561.0,1.0,Botafogo-RJ,AT
42,Luis Henrique,544.0,2.0,Botafogo-RJ,AT
43,Danilo Barbosa,358.0,1.0,Botafogo-RJ,LT
44,Matheus Nascimento,83.0,1.0,Botafogo-RJ,AT
45,Carlos Alberto,14.0,1.0,Botafogo-RJ,"ZG,AT"
46,Juninho Capixaba,1030.0,2.0,Bragantino,ZG
47,Eduardo Sasha,897.0,6.0,Bragantino,"AT,LT"
48,Matheus Fernandes,887.0,1.0,Bragantino,LT
49,Eduardo Santos,1000.9999999999999,1.0,Bragantino,ZG
50,Helinho,478.0,2.0,Bragantino,AT
51,Vitinho,628.0,1.0,Bragantino,"AT,LT"
52,Bruno,372.0,1.0,Bragantino,"AT,LT"
53,Henery Mosquera,480.0,2.0,Bragantino,"AT,LT"
54,Marcos Vinicios Sorriso,258.0,1.0,Bragantino,AT
55,Thiago Borbas,305.0,4.0,Bragantino,AT
56,Alerrandro,148.0,1.0,Bragantino,AT
57,Roger Guedes,1170.0,5.0,Corinthians,"LT,AT"
58,Yuri Alberto,985.0,2.0,Corinthians,AT
59,Ruan Oliveira Ferreira,231.0,2.0,Corinthians,LT
60,Matheus Araújo,293.0,1.0,Corinthians,LT
61,Bruno Gomes,935.0,1.0,Coritiba,LT
62,Robson,771.0,3.0,Coritiba,"AT,LT"
63,Benjamín Kuscevic,720.0,1.0,Coritiba,ZG
64,Alef Manga,714.0,3.0,Coritiba,AT
65,Zé Roberto,523.0,1.0,Coritiba,"AT,LT"
66,Marcelino Moreno,520.0,1.0,Coritiba,LT
67,Gabriel Boschilia,338.0,1.0,Coritiba,"LT,AT"
68,Marlon,1170.0,2.0,Cruzeiro,ZG
69,Bruno Nascimento,1169.0,3.0,Cruzeiro,AT
70,Lucas Oliveira,967.0,1.0,Cruzeiro,ZG
71,Wesley,784.0,3.0,Cruzeiro,"AT,LT"
72,Gilberto,778.0,3.0,Cruzeiro,AT
73,Ramiro Benetti,407.0,1.0,Cruzeiro,LT
74,Henrique Dourado,330.0,1.0,Cruzeiro,AT
75,Vitor Roque,923.0,7.0,Cuiaba,AT
76,Pedro Henrique,810.0,1.0,Cuiaba,ZG
77,Erick,761.0,1.0,Cuiaba,LT
78,Christian,737.0,3.0,Cuiaba,"LT,AT"
79,Vitor Bueno,605.0,1.0,Cuiaba,"LT,AT"
80,Alex Santana,524.0,1.0,Cuiaba,LT
81,Agustín Canobbio,536.0,1.0,Cuiaba,"AT,LT"
82,Pablo,494.0,1.0,Cuiaba,AT
83,Willian,111.0,2.0,Cuiaba,"AT,LT"
84,Léo Pereira,891.0,3.0,Flamengo,ZG
85,Ayrton Lucas,981.0,3.0,Flamengo,ZG
86,Gabriel Barbosa,789.0,4.0,Flamengo,"AT,LT"
87,Gerson,810.0,2.0,Flamengo,LT
88,Erick Pulgar,759.0,2.0,Flamengo,LT
89,Everton Soares,679.0,2.0,Flamengo,"AT,LT"
90,Everton Ribeiro,560.0,2.0,Flamengo,"AT,LT"
91,Pedro,572.0,4.0,Flamengo,AT
92,Giorgian De Arrascaeta,554.0,1.0,Flamengo,"LT,AT"
93,David Luiz,540.0,1.0,Flamengo,ZG
94,Matheus França,362.0,1.0,Flamengo,"LT,AT"
95,Bruno Henrique,282.0,1.0,Flamengo,"AT,LT"
96,Lima,1112.0,3.0,Fluminense,"LT,AT"
97,Nino,986.0,2.0,Fluminense,ZG
98,Germán Cano,968.0,3.0,Fluminense,AT
