,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
0,1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,D,0.0,3.0,Fluminense,1.1,3.1,46.0,,Juninho,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Independência,America-MG
1,6,2023-05-07,11:00,Série A,Rodada da semana 4,dom,Em casa,D,1.0,2.0,Cuiabá,1.4,0.5,46.0,,Juninho,4-1-4-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Independência,America-MG
2,8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,D,0.0,4.0,Cruzeiro,1.3,2.6,48.0,4.295,Juninho,4-3-3,Wilton Sampaio,Relatório da Partida,Independência,America-MG
3,9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,2.0,1.0,Fortaleza,0.8,1.2,28.0,,Danilo Avelar,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,Independência,America-MG
4,12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,V,2.0,0.0,Corinthians,1.4,1.2,30.0,,Juninho,4-1-3-2,Anderson Daronco,Relatório da Partida,Independência,America-MG
5,14,2023-06-11,11:00,Série A,Rodada da semana 10,dom,Em casa,E,2.0,2.0,Atl Paranaense,1.9,0.8,50.0,,Juninho,4-1-4-1,João Vitor Gobi,Relatório da Partida,Mineirão,America-MG
6,16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,D,1.0,2.0,Internacional,1.3,1.0,40.0,,Juninho,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,Independência,America-MG
7,5,2023-04-15,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,1.0,2.0,Vasco da Gama,1.5,1.5,74.0,,Hulk,4-3-3,Raphael Claus,Relatório da Partida,Mineirão,Atletico-Mineiro
8,8,2023-04-29,21:00,Série A,Rodada da semana 3,sáb,Em casa,V,2.0,1.0,Atl Paranaense,2.0,0.6,59.0,,Hulk,4-4-2,Ramon Abatti Abel,Relatório da Partida,Independência,Atletico-Mineiro
9,12,2023-05-13,21:00,Série A,Rodada da semana 6,sáb,Em casa,V,2.0,0.0,Internacional,2.0,0.3,54.0,36.08,Mariano,4-2-2-2,Raphael Claus,Relatório da Partida,Mineirão,Atletico-Mineiro
10,15,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Em casa,E,1.0,1.0,Palmeiras,0.8,1.1,57.0,53.236,Hulk,4-1-3-2,Braulio da Silva Machado,Relatório da Partida,Mineirão,Atletico-Mineiro
11,18,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,1.0,1.0,Bragantino,1.7,0.5,61.0,,Mariano,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Mineirão,Atletico-Mineiro
12,22,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2.0,2.0,América (MG),1.4,2.6,47.0,34.507,Hulk,4-3-3,Wilton Sampaio,Relatório da Partida,Mineirão,Atletico-Mineiro
13,1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,0.0,Goiás,0.8,1.0,44.0,,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Ligga Arena,Atletico-Paranaense
14,6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,2.0,1.0,Flamengo,1.0,1.5,40.0,32.949,Thiago Heleno,4-4-2,Raphael Claus,Relatório da Partida,Ligga Arena,Atletico-Paranaense
15,8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,V,3.0,2.0,Coritiba,2.9,0.4,64.0,17.608,Thiago Heleno,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Ligga Arena,Atletico-Paranaense
16,11,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Em casa,D,1.0,2.0,Grêmio,1.3,0.7,66.0,,Thiago Heleno,4-2-3-1,Savio Pereira,Relatório da Partida,Ligga Arena,Atletico-Paranaense
17,12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,V,1.0,0.0,Botafogo (RJ),0.9,0.6,49.0,,Pedro Henrique,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,Ligga Arena,Atletico-Paranaense
18,16,2023-06-24,16:00,Série A,Rodada da semana 12,sáb,Em casa,V,1.0,0.0,Corinthians,2.7,0.9,35.0,,Thiago Heleno,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,Ligga Arena,Atletico-Paranaense
19,18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2.0,2.0,Palmeiras,3.8,1.5,54.0,,Thiago Heleno,3-4-3,Jean Pierre Goncalves Lima,Relatório da Partida,Ligga Arena,Atletico-Paranaense
20,1,2023-04-24,20:00,Série A,Rodada da semana 2,seg,Em casa,D,1.0,2.0,Botafogo (RJ),0.9,0.2,58.0,27.822,Everaldo Stum,5-4-1,Raphael Claus,Relatório da Partida,Fonte Nova,Bahia
21,3,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,3.0,1.0,Coritiba,1.5,0.4,50.0,37.936,Kanu,3-4-3,Bruno Mota Correia,Relatório da Partida,Fonte Nova,Bahia
22,5,2023-05-13,16:00,Série A,Rodada da semana 6,sáb,Em casa,D,2.0,3.0,Flamengo,1.4,2.2,52.0,,Kanu,3-4-1-2,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Fonte Nova,Bahia
23,6,2023-05-20,16:00,Série A,Rodada da semana 7,sáb,Em casa,E,1.0,1.0,Goiás,2.3,0.9,50.0,,Everaldo Stum,3-4-3,Denis da Silva Ribeiro Serafim,Relatório da Partida,Fonte Nova,Bahia
24,9,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,2.0,2.0,Cruzeiro,1.4,2.4,48.0,,Kanu,3-4-3,Rodrigo José Pereira de Lima,Relatório da Partida,Fonte Nova,Bahia
25,10,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Em casa,V,1.0,0.0,Palmeiras,1.1,0.8,46.0,31.013,Kanu,4-2-3-1,Wilton Sampaio,Relatório da Partida,Fonte Nova,Bahia
26,12,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Em casa,D,1.0,2.0,Grêmio,1.9,2.8,47.0,34.09,Kanu,4-4-2,Marcelo de Lima Henrique,Relatório da Partida,Fonte Nova,Bahia
27,1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,São Paulo,0.9,2.0,33.0,,Víctor Cuesta,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Nilton Santos,Botafogo-RJ
28,6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,V,2.0,0.0,Atlético Mineiro,2.0,0.5,39.0,,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Nilton Santos,Botafogo-RJ
29,7,2023-05-11,19:30,Série A,Rodada da semana 5,qui,Em casa,V,3.0,0.0,Corinthians,2.6,0.6,53.0,,Fernando Marçal,4-2-3-1,Anderson Daronco,Relatório da Partida,Nilton Santos,Botafogo-RJ
30,9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,1.0,0.0,Fluminense,1.4,0.9,35.0,,Fernando Marçal,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nilton Santos,Botafogo-RJ
31,11,2023-05-28,19:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,América (MG),2.1,0.4,55.0,23.708,Fernando Marçal,4-2-3-1,Raphael Claus,Relatório da Partida,Nilton Santos,Botafogo-RJ
32,14,2023-06-10,21:00,Série A,Rodada da semana 10,sáb,Em casa,V,2.0,0.0,Fortaleza,3.7,0.4,54.0,,Víctor Cuesta,4-2-3-1,Wilton Sampaio,Relatório da Partida,Nilton Santos,Botafogo-RJ
33,18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,V,2.0,0.0,Vasco da Gama,1.5,0.9,60.0,,Víctor Cuesta,4-2-3-1,Raphael Claus,Relatório da Partida,Nilton Santos,Botafogo-RJ
34,1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Bahia,2.0,0.7,55.0,,Aderlan Silva,4-2-3-1,Maguielson Lima Barbosa,Relatório da Partida,Nabi Abi Chedid,Bragantino
35,4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,D,0.0,3.0,Cruzeiro,1.5,2.0,46.0,,Aderlan Silva,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nabi Abi Chedid,Bragantino
36,7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,E,2.0,2.0,América (MG),1.7,2.0,62.0,,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,Nabi Abi Chedid,Bragantino
37,9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,2.0,0.0,Atl Paranaense,1.7,1.1,60.0,,Cleiton Schwengber,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,Nabi Abi Chedid,Bragantino
