,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,D,0.0,3.0,Fluminense,1.1,3.1,46.0,,Juninho,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Independência
3,2023-04-22,18:30,Série A,Rodada da semana 2,sáb,Visitante,D,0.0,3.0,São Paulo,1.1,2.4,47.0,41.006,Juninho,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Morumbi
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Visitante,D,2.0,3.0,Santos,1.8,1.8,56.0,,Juninho,4-1-4-1,Anderson Daronco,Relatório da Partida,Vila Belmiro
6,2023-05-07,11:00,Série A,Rodada da semana 4,dom,Em casa,D,1.0,2.0,Cuiabá,1.4,0.5,46.0,,Juninho,4-1-4-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Independência
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,E,2.0,2.0,Bragantino,2.0,1.7,38.0,,Juninho,4-1-4-1,Rafael Rodrigo Klein,Relatório da Partida,Nabi Abi Chedid
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,D,0.0,4.0,Cruzeiro,1.3,2.6,48.0,4.295,Juninho,4-3-3,Wilton Sampaio,Relatório da Partida,Independência
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,2.0,1.0,Fortaleza,0.8,1.2,28.0,,Danilo Avelar,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,Independência
11,2023-05-28,19:00,Série A,Rodada da semana 8,dom,Visitante,D,0.0,2.0,Botafogo (RJ),0.4,2.1,45.0,23.708,Danilo Avelar,4-1-4-1,Raphael Claus,Relatório da Partida,Nilton Santos
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,V,2.0,0.0,Corinthians,1.4,1.2,30.0,,Juninho,4-1-3-2,Anderson Daronco,Relatório da Partida,Independência
14,2023-06-11,11:00,Série A,Rodada da semana 10,dom,Em casa,E,2.0,2.0,Atl Paranaense,1.9,0.8,50.0,,Juninho,4-1-4-1,João Vitor Gobi,Relatório da Partida,Mineirão
15,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Visitante,D,1.0,3.0,Grêmio,0.8,2.4,28.0,,Juninho,4-1-4-1,Edina Alves Batista,Relatório da Partida,Arena do Grêmio
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,D,1.0,2.0,Internacional,1.3,1.0,40.0,,Juninho,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,Independência
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Visitante,E,2.0,2.0,Atlético Mineiro,2.6,1.4,53.0,34.507,Juninho,4-4-2,Wilton Sampaio,Relatório da Partida,Mineirão
