,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
5,2023-04-15,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,1.0,2.0,Vasco da Gama,1.5,1.5,74.0,,Hulk,4-3-3,Raphael Claus,Relatório da Partida,Mineirão
7,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Visitante,E,0.0,0.0,Santos,1.2,0.8,63.0,,Hulk,4-4-2,Braulio da Silva Machado,Relatório da Partida,Vila Belmiro
8,2023-04-29,21:00,Série A,Rodada da semana 3,sáb,Em casa,V,2.0,1.0,Atl Paranaense,2.0,0.6,59.0,,Hulk,4-4-2,Ramon Abatti Abel,Relatório da Partida,Independência
10,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,D,0.0,2.0,Botafogo (RJ),0.5,2.0,61.0,,Hulk,4-2-2-2,Flavio Rodrigues de Souza,Relatório da Partida,Nilton Santos
11,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,V,4.0,0.0,Cuiabá,2.8,0.2,53.0,,Hulk,4-2-2-2,Wilton Sampaio,Relatório da Partida,Arena Pantanal
12,2023-05-13,21:00,Série A,Rodada da semana 6,sáb,Em casa,V,2.0,0.0,Internacional,2.0,0.3,54.0,36.08,Mariano,4-2-2-2,Raphael Claus,Relatório da Partida,Mineirão
13,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,V,2.0,1.0,Coritiba,1.5,1.0,65.0,,Hulk,4-1-2-1-2◆,Rodrigo José Pereira de Lima,Relatório da Partida,Couto Pereira
15,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Em casa,E,1.0,1.0,Palmeiras,0.8,1.1,57.0,53.236,Hulk,4-1-3-2,Braulio da Silva Machado,Relatório da Partida,Mineirão
16,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Visitante,V,1.0,0.0,Cruzeiro,0.6,1.8,36.0,,Hulk,4-2-3-1,Savio Pereira,Relatório da Partida,Parque do Sabiá
18,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,1.0,1.0,Bragantino,1.7,0.5,61.0,,Mariano,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Mineirão
19,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Visitante,E,1.0,1.0,Fluminense,1.4,0.4,51.0,,Hulk,4-3-3,Ramon Abatti Abel,Relatório da Partida,Sylvio Raulino de Oliveira
20,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Visitante,D,1.0,2.0,Fortaleza,1.0,0.8,58.0,,Hulk,4-3-3,Leandro Pedro Vuaden,Relatório da Partida,Castelão
22,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2.0,2.0,América (MG),1.4,2.6,47.0,34.507,Hulk,4-3-3,Wilton Sampaio,Relatório da Partida,Mineirão
