,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,0.0,Goiás,0.8,1.0,44.0,,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Ligga Arena
3,2023-04-22,16:00,Série A,Rodada da semana 2,sáb,Visitante,D,0.0,2.0,Fluminense,0.6,0.8,38.0,38.598,Thiago Heleno,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Maracanã
4,2023-04-29,21:00,Série A,Rodada da semana 3,sáb,Visitante,D,1.0,2.0,Atlético Mineiro,0.6,2.0,41.0,,Thiago Heleno,4-1-4-1,Ramon Abatti Abel,Relatório da Partida,Independência
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,2.0,1.0,Flamengo,1.0,1.5,40.0,32.949,Thiago Heleno,4-4-2,Raphael Claus,Relatório da Partida,Ligga Arena
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,V,2.0,0.0,Internacional,1.5,1.0,53.0,,Thiago Heleno,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,Beira-rio
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,V,3.0,2.0,Coritiba,2.9,0.4,64.0,17.608,Thiago Heleno,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Ligga Arena
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,0.0,2.0,Bragantino,1.1,1.7,40.0,,Bento,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,Nabi Abi Chedid
11,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Em casa,D,1.0,2.0,Grêmio,1.3,0.7,66.0,,Thiago Heleno,4-2-3-1,Savio Pereira,Relatório da Partida,Ligga Arena
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,V,1.0,0.0,Botafogo (RJ),0.9,0.6,49.0,,Pedro Henrique,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,Ligga Arena
14,2023-06-11,11:00,Série A,Rodada da semana 10,dom,Visitante,E,2.0,2.0,América (MG),0.8,1.9,50.0,,Thiago Heleno,4-2-3-1,João Vitor Gobi,Relatório da Partida,Mineirão
15,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Visitante,D,1.0,2.0,São Paulo,1.2,0.6,44.0,22.882,Thiago Heleno,4-2-3-1,Savio Pereira,Relatório da Partida,Morumbi
16,2023-06-24,16:00,Série A,Rodada da semana 12,sáb,Em casa,V,1.0,0.0,Corinthians,2.7,0.9,35.0,,Thiago Heleno,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,Ligga Arena
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2.0,2.0,Palmeiras,3.8,1.5,54.0,,Thiago Heleno,3-4-3,Jean Pierre Goncalves Lima,Relatório da Partida,Ligga Arena
