,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Visitante,D,1.0,2.0,Bragantino,0.7,2.0,45.0,,Kanu,3-4-3,Maguielson Lima Barbosa,Relatório da Partida,Nabi Abi Chedid
1,2023-04-24,20:00,Série A,Rodada da semana 2,seg,Em casa,D,1.0,2.0,Botafogo (RJ),0.9,0.2,58.0,27.822,Everaldo Stum,5-4-1,Raphael Claus,Relatório da Partida,Fonte Nova
2,2023-05-01,20:00,Série A,Rodada da semana 3,seg,Visitante,V,1.0,0.0,Vasco da Gama,1.1,0.9,45.0,,Kanu,5-4-1,Flavio Rodrigues de Souza,Relatório da Partida,São Januário
3,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,3.0,1.0,Coritiba,1.5,0.4,50.0,37.936,Kanu,3-4-3,Bruno Mota Correia,Relatório da Partida,Fonte Nova
4,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,D,0.0,3.0,Santos,1.3,2.0,59.0,,Kanu,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,Vila Belmiro
5,2023-05-13,16:00,Série A,Rodada da semana 6,sáb,Em casa,D,2.0,3.0,Flamengo,1.4,2.2,52.0,,Kanu,3-4-1-2,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Fonte Nova
6,2023-05-20,16:00,Série A,Rodada da semana 7,sáb,Em casa,E,1.0,1.0,Goiás,2.3,0.9,50.0,,Everaldo Stum,3-4-3,Denis da Silva Ribeiro Serafim,Relatório da Partida,Fonte Nova
7,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Visitante,D,0.0,2.0,Internacional,1.1,0.9,56.0,,Kanu,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio
8,2023-06-03,16:00,Série A,Rodada da semana 9,sáb,Visitante,E,0.0,0.0,Fortaleza,0.3,0.6,45.0,38.338,Kanu,3-5-2,João Vitor Gobi,Relatório da Partida,Castelão
9,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,2.0,2.0,Cruzeiro,1.4,2.4,48.0,,Kanu,3-4-3,Rodrigo José Pereira de Lima,Relatório da Partida,Fonte Nova
10,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Em casa,V,1.0,0.0,Palmeiras,1.1,0.8,46.0,31.013,Kanu,4-2-3-1,Wilton Sampaio,Relatório da Partida,Fonte Nova
11,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Visitante,D,1.0,2.0,Fluminense,1.0,3.0,51.0,24.507,Kanu,4-4-2,Savio Pereira,Relatório da Partida,Maracanã
12,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Em casa,D,1.0,2.0,Grêmio,1.9,2.8,47.0,34.09,Kanu,4-4-2,Marcelo de Lima Henrique,Relatório da Partida,Fonte Nova
