,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,São Paulo,0.9,2.0,33.0,,Víctor Cuesta,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Nilton Santos
3,2023-04-24,20:00,Série A,Rodada da semana 2,seg,Visitante,V,2.0,1.0,Bahia,0.2,0.9,42.0,27.822,Víctor Cuesta,4-2-3-1,Raphael Claus,Relatório da Partida,Fonte Nova
4,2023-04-30,16:00,Série A,Rodada da semana 3,dom,Visitante,V,3.0,2.0,Flamengo,1.9,3.1,26.0,53.138,Fernando Marçal,4-2-3-1,Edina Alves Batista,Relatório da Partida,Maracanã
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,V,2.0,0.0,Atlético Mineiro,2.0,0.5,39.0,,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Nilton Santos
7,2023-05-11,19:30,Série A,Rodada da semana 5,qui,Em casa,V,3.0,0.0,Corinthians,2.6,0.6,53.0,,Fernando Marçal,4-2-3-1,Anderson Daronco,Relatório da Partida,Nilton Santos
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Visitante,D,1.0,2.0,Goiás,1.5,1.9,53.0,6.674,Fernando Marçal,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Serrinha
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,1.0,0.0,Fluminense,1.4,0.9,35.0,,Fernando Marçal,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nilton Santos
11,2023-05-28,19:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,América (MG),2.1,0.4,55.0,23.708,Fernando Marçal,4-2-3-1,Raphael Claus,Relatório da Partida,Nilton Santos
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Visitante,D,0.0,1.0,Atl Paranaense,0.6,0.9,51.0,,Víctor Cuesta,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,Ligga Arena
14,2023-06-10,21:00,Série A,Rodada da semana 10,sáb,Em casa,V,2.0,0.0,Fortaleza,3.7,0.4,54.0,,Víctor Cuesta,4-2-3-1,Wilton Sampaio,Relatório da Partida,Nilton Santos
15,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Visitante,V,1.0,0.0,Cuiabá,1.2,1.1,48.0,,Víctor Cuesta,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,Arena Pantanal
16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Visitante,V,1.0,0.0,Palmeiras,0.8,2.6,36.0,38.877,Víctor Cuesta,4-2-3-1,Anderson Daronco,Relatório da Partida,Allianz Parque
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,V,2.0,0.0,Vasco da Gama,1.5,0.9,60.0,,Víctor Cuesta,4-2-3-1,Raphael Claus,Relatório da Partida,Nilton Santos
