,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Bahia,2.0,0.7,55.0,,Aderlan Silva,4-2-3-1,Maguielson Lima Barbosa,Relatório da Partida,Nabi Abi Chedid
3,2023-04-22,17:30,Série A,Rodada da semana 2,sáb,Visitante,E,1.0,1.0,Cuiabá,0.9,1.2,66.0,,Aderlan Silva,4-3-3,Caio Max Augusto Vieira,Relatório da Partida,Arena Pantanal
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,D,0.0,3.0,Cruzeiro,1.5,2.0,46.0,,Aderlan Silva,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nabi Abi Chedid
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,E,3.0,3.0,Grêmio,1.8,1.7,58.0,,Juninho Capixaba,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Arena do Grêmio
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,E,2.0,2.0,América (MG),1.7,2.0,62.0,,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,Nabi Abi Chedid
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Visitante,E,1.0,1.0,Palmeiras,1.0,1.6,42.0,,Cleiton Schwengber,4-3-3,Savio Pereira,Relatório da Partida,Allianz Parque
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,2.0,0.0,Atl Paranaense,1.7,1.1,60.0,,Cleiton Schwengber,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,Nabi Abi Chedid
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,Santos,1.5,0.3,59.0,5.988,Cleiton Schwengber,4-3-3,Anderson Daronco,Relatório da Partida,Nabi Abi Chedid
12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Visitante,D,1.0,2.0,Fluminense,0.6,1.1,49.0,,Cleiton Schwengber,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã
14,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Visitante,E,1.0,1.0,Atlético Mineiro,0.5,1.7,39.0,,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,Mineirão
15,2023-06-22,21:30,Série A,Rodada da semana 11,qui,Em casa,V,4.0,0.0,Flamengo,3.3,0.8,59.0,,Lucas Evangelista,3-2-4-1,Anderson Daronco,Relatório da Partida,Nabi Abi Chedid
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,V,2.0,0.0,Goiás,1.8,0.2,59.0,,Cleiton Schwengber,3-2-4-1,Bruno Mota Correia,Relatório da Partida,Nabi Abi Chedid
18,2023-07-02,11:00,Série A,Rodada da semana 13,dom,Visitante,V,1.0,0.0,Corinthians,0.9,0.6,58.0,,Cleiton Schwengber,4-1-2-1-2◆,Edina Alves Batista,Relatório da Partida,Neo Química Arena
