,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Em casa,V,2.0,1.0,Cruzeiro,1.5,0.5,40.0,41.304,Cássio,4-2-3-1,Anderson Daronco,Relatório da Partida,Neo Química Arena
3,2023-04-23,19:00,Série A,Rodada da semana 2,dom,Visitante,D,1.0,3.0,Goiás,0.5,1.2,48.0,8.508,Cássio,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Serrinha
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Visitante,D,1.0,2.0,Palmeiras,0.5,1.4,46.0,,Cássio,4-2-3-1,Wilton Sampaio,Relatório da Partida,Allianz Parque
6,2023-05-08,20:00,Série A,Rodada da semana 4,seg,Em casa,E,1.0,1.0,Fortaleza,1.5,0.8,49.0,36.512,Cássio,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Neo Química Arena
7,2023-05-11,19:30,Série A,Rodada da semana 5,qui,Visitante,D,0.0,3.0,Botafogo (RJ),0.6,2.6,47.0,,Cássio,4-1-4-1,Anderson Daronco,Relatório da Partida,Nilton Santos
8,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,1.0,1.0,São Paulo,0.9,0.9,34.0,41.118,Cássio,4-1-4-1,Bruno Arleu de Araujo,Relatório da Partida,Neo Química Arena
9,2023-05-21,16:00,Série A,Rodada da semana 7,dom,Visitante,D,0.0,1.0,Flamengo,1.2,0.6,36.0,,Cássio,4-4-2,Rafael Rodrigo Klein,Relatório da Partida,Maracanã
11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,Fluminense,1.4,1.3,30.0,,Cássio,4-4-2,Leandro Pedro Vuaden,Relatório da Partida,Neo Química Arena
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Visitante,D,0.0,2.0,América (MG),1.2,1.4,70.0,,Cássio,3-4-3,Anderson Daronco,Relatório da Partida,Independência
14,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Em casa,E,1.0,1.0,Cuiabá,1.4,0.7,61.0,,Cássio,3-4-1-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,Neo Química Arena
15,2023-06-21,20:00,Série A,Rodada da semana 11,qua,Visitante,V,2.0,0.0,Santos,1.3,0.8,49.0,12.499,Cássio,4-1-4-1,Leandro Pedro Vuaden,Relatório da Partida,Vila Belmiro
16,2023-06-24,16:00,Série A,Rodada da semana 12,sáb,Visitante,D,0.0,1.0,Atl Paranaense,0.9,2.7,65.0,,Cássio,4-1-4-1,Wagner do Nascimento Magalhães,Relatório da Partida,Ligga Arena
18,2023-07-02,11:00,Série A,Rodada da semana 13,dom,Em casa,D,0.0,1.0,Bragantino,0.6,0.9,42.0,,Cássio,4-3-3,Edina Alves Batista,Relatório da Partida,Neo Química Arena
