,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Visitante,D,0.0,3.0,Flamengo,0.4,1.4,42.0,42.848,Gabriel,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã
1,2023-04-23,18:30,Série A,Rodada da semana 2,dom,Em casa,D,0.0,3.0,Fortaleza,0.7,2.6,58.0,,Gabriel,3-1-4-2,Wilton Sampaio,Relatório da Partida,Couto Pereira
2,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Em casa,E,1.0,1.0,São Paulo,1.8,1.1,33.0,,Willian Farias,3-4-3,Rafael Rodrigo Klein,Relatório da Partida,Couto Pereira
3,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Visitante,D,1.0,3.0,Bahia,0.4,1.5,50.0,37.936,Willian Farias,3-4-3,Bruno Mota Correia,Relatório da Partida,Fonte Nova
4,2023-05-11,19:00,Série A,Rodada da semana 5,qui,Em casa,E,1.0,1.0,Vasco da Gama,1.0,0.8,36.0,,Henrique,5-4-1,Ramon Abatti Abel,Relatório da Partida,Couto Pereira
5,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Visitante,D,2.0,3.0,Atl Paranaense,0.4,2.9,36.0,17.608,Henrique,5-4-1,Flavio Rodrigues de Souza,Relatório da Partida,Ligga Arena
6,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,D,1.0,2.0,Atlético Mineiro,1.0,1.5,35.0,,Henrique,3-5-2,Rodrigo José Pereira de Lima,Relatório da Partida,Couto Pereira
7,2023-05-27,17:30,Série A,Rodada da semana 8,sáb,Visitante,E,1.0,1.0,Cuiabá,1.0,0.7,57.0,,Henrique,3-4-1-2,Denis da Silva Ribeiro Serafim,Relatório da Partida,Arena Pantanal
8,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Visitante,D,1.0,3.0,Palmeiras,0.6,2.5,49.0,,Henrique,3-4-1-2,Felipe Fernandes de Lima,Relatório da Partida,Allianz Parque
9,2023-06-10,16:00,Série A,Rodada da semana 10,sáb,Em casa,E,0.0,0.0,Santos,1.2,0.8,47.0,25.987,Henrique,3-5-2,Bruno Mota Correia,Relatório da Partida,Couto Pereira
10,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Internacional,1.5,0.9,51.0,,Gabriel,3-1-4-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,Couto Pereira
11,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Visitante,D,1.0,5.0,Grêmio,1.1,3.4,50.0,37.048,Gabriel,3-1-4-2,João Vitor Gobi,Relatório da Partida,Arena do Grêmio
12,2023-07-03,20:00,Série A,Rodada da semana 13,seg,Visitante,V,2.0,1.0,Goiás,0.9,1.9,37.0,10.394,Gabriel,4-1-4-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Serrinha
