,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Visitante,D,1.0,2.0,Corinthians,0.5,1.5,60.0,41.304,Rafael Cabral,4-2-3-1,Anderson Daronco,Relatório da Partida, Neo Química Arena
1,2023-04-22,21:00,Série A,Rodada da semana 2,sáb,Em casa,V,1.0,0.0,Grêmio,1.5,0.8,49.0,21.605,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Independência
2,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Visitante,V,3.0,0.0,Bragantino,2.0,1.5,54.0,,Rafael Cabral,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nabi Abi Chedid
3,2023-05-06,16:00,Série A,Rodada da semana 4,sáb,Em casa,V,2.0,1.0,Santos,1.6,1.0,55.0,,Rafael Cabral,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Independência
4,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,D,0.0,2.0,Fluminense,2.1,1.2,48.0,,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Mineirão
5,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Visitante,V,4.0,0.0,América (MG),2.6,1.3,52.0,4.295,Rafael Cabral,4-3-3,Wilton Sampaio,Relatório da Partida,Independência
6,2023-05-22,20:00,Série A,Rodada da semana 7,seg,Em casa,D,0.0,1.0,Cuiabá,1.2,1.2,65.0,,Rafael Cabral,4-3-3,Savio Pereira,Relatório da Partida,Arena do Jacaré
7,2023-05-27,18:30,Série A,Rodada da semana 8,sáb,Visitante,E,1.0,1.0,Flamengo,1.2,2.0,38.0,,Rafael Cabral,4-3-3,Luiz Flávio de Oliveira,Relatório da Partida,Maracanã
8,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,D,0.0,1.0,Atlético Mineiro,1.8,0.6,64.0,,Rafael Cabral,4-3-3,Savio Pereira,Relatório da Partida,Parque do Sabiá
9,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Visitante,E,2.0,2.0,Bahia,2.4,1.4,52.0,,Rafael Cabral,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,Fonte Nova
10,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Em casa,D,0.0,1.0,Fortaleza,1.1,1.8,67.0,28.494,Rafael Cabral,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,Mineirão
11,2023-06-24,21:00,Série A,Rodada da semana 12,sáb,Em casa,V,1.0,0.0,São Paulo,0.5,1.4,31.0,,Rafael Cabral,4-3-3,Ramon Abatti Abel,Relatório da Partida,Independência
12,2023-07-01,21:00,Série A,Rodada da semana 13,sáb,Visitante,E,0.0,0.0,Internacional,1.0,1.8,46.0,,Rafael Cabral,4-1-4-1,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio
