,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Visitante,D,1.0,2.0,Palmeiras,1.0,3.0,48.0,35.835,Walter,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Allianz Parque
1,2023-04-22,17:30,Série A,Rodada da semana 2,sáb,Em casa,E,1.0,1.0,Bragantino,1.2,0.9,34.0,9.267,Marllon Borges,4-2-3-1,Caio Max Augusto Vieira,Relatório da Partida,Arena Pantanal
2,2023-04-30,17:30,Série A,Rodada da semana 3,dom,Em casa,D,1.0,2.0,Grêmio,1.2,1.7,50.0,21.385,Marllon Borges,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Arena Pantanal
3,2023-05-07,11:00,Série A,Rodada da semana 4,dom,Visitante,V,2.0,1.0,América (MG),0.5,1.4,54.0,5.228,Marllon Borges,4-2-3-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Independência
4,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,D,0.0,4.0,Atlético Mineiro,0.2,2.8,47.0,12.029,Marllon Borges,4-2-3-1,Wilton Sampaio,Relatório da Partida,Arena Pantanal
5,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Visitante,D,0.0,2.0,Fluminense,0.9,0.9,39.0,,Marllon Borges,4-2-3-1,Edina Alves Batista,Relatório da Partida,Maracanã
6,2023-05-22,20:00,Série A,Rodada da semana 7,seg,Visitante,V,1.0,0.0,Cruzeiro,1.2,1.2,35.0,,Walter,4-3-3,Savio Pereira,Relatório da Partida,Arena do Jacaré
7,2023-05-27,17:30,Série A,Rodada da semana 8,sáb,Em casa,E,1.0,1.0,Coritiba,0.7,1.0,43.0,,Walter,4-3-3,Denis da Silva Ribeiro Serafim,Relatório da Partida,Arena Pantanal
8,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Visitante,V,1.0,0.0,Goiás,1.2,0.4,45.0,,Walter,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,Serrinha
9,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Visitante,E,1.0,1.0,Corinthians,0.7,1.4,39.0,,Walter,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,Neo Química Arena
10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Botafogo (RJ),1.1,1.2,52.0,,Walter,4-1-4-1,Flavio Rodrigues de Souza,Relatório da Partida,Arena Pantanal
11,2023-06-26,21:00,Série A,Rodada da semana 12,seg,Visitante,D,0.0,1.0,Vasco da Gama,0.6,1.7,55.0,,Walter,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,São Januário
12,2023-07-02,17:30,Série A,Rodada da semana 13,dom,Em casa,V,3.0,0.0,Santos,1.1,0.3,48.0,,Walter,4-3-3,Bruno Mota Correia,Relatório da Partida,Arena Pantanal
