,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Em casa,V,3.0,0.0,Coritiba,1.4,0.4,58.0,42.848,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã
3,2023-04-23,11:00,Série A,Rodada da semana 2,dom,Visitante,D,1.0,2.0,Internacional,1.5,1.1,64.0,,Everton Ribeiro,4-1-2-1-2◆,Ramon Abatti Abel,Relatório da Partida,Beira-Rio
4,2023-04-30,16:00,Série A,Rodada da semana 3,dom,Em casa,D,2.0,3.0,Botafogo (RJ),3.1,1.9,74.0,53.138,Gabriel Barbosa,3-4-3,Edina Alves Batista,Relatório da Partida,Maracanã
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Visitante,D,1.0,2.0,Atl Paranaense,1.5,1.0,60.0,32.949,Everton Ribeiro,4-4-2,Raphael Claus,Relatório da Partida,Ligga Arena
7,2023-05-10,20:00,Série A,Rodada da semana 5,qua,Em casa,V,2.0,0.0,Goiás,2.6,0.7,57.0,,Everton Ribeiro,4-2-3-1,Savio Pereira,Relatório da Partida,Maracanã
8,2023-05-13,16:00,Série A,Rodada da semana 6,sáb,Visitante,V,3.0,2.0,Bahia,2.2,1.4,48.0,,Gabriel Barbosa,3-4-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Fonte Nova
9,2023-05-21,16:00,Série A,Rodada da semana 7,dom,Em casa,V,1.0,0.0,Corinthians,0.6,1.2,64.0,,Gabriel Barbosa,4-2-2-2,Rafael Rodrigo Klein,Relatório da Partida,Maracanã
11,2023-05-27,18:30,Série A,Rodada da semana 8,sáb,Em casa,E,1.0,1.0,Cruzeiro,2.0,1.2,62.0,,Gabriel Barbosa,4-3-1-2,Luiz Flávio de Oliveira,Relatório da Partida,Maracanã
12,2023-06-05,20:00,Série A,Rodada da semana 9,seg,Visitante,V,4.0,1.0,Vasco da Gama,1.1,1.5,55.0,,David Luiz,4-2-2-2,Braulio da Silva Machado,Relatório da Partida,Maracanã
14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Em casa,V,3.0,0.0,Grêmio,1.9,2.0,52.0,,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,Maracanã
15,2023-06-22,21:30,Série A,Rodada da semana 11,qui,Visitante,D,0.0,4.0,Bragantino,0.8,3.3,41.0,,Everton Ribeiro,4-2-3-1,Anderson Daronco,Relatório da Partida,Nabi Abi Chedid
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Visitante,V,3.0,2.0,Santos,0.8,1.7,67.0,,Everton Ribeiro,4-3-3,Wilton Sampaio,Relatório da Partida,Vila Belmiro
18,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Em casa,V,2.0,0.0,Fortaleza,1.4,1.5,58.0,,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,Maracanã
