,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Visitante,V,3.0,0.0,América (MG),3.1,1.1,54.0,,Nino,4-2-2-2,Braulio da Silva Machado,Relatório da Partida,Independência
3,2023-04-22,16:00,Série A,Rodada da semana 2,sáb,Em casa,V,2.0,0.0,Atl Paranaense,0.8,0.6,62.0,38.598,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Maracanã
4,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Visitante,D,2.0,4.0,Fortaleza,1.5,5.3,69.0,,Nino,4-2-3-1,Raphael Claus,Relatório da Partida,Castelão
6,2023-05-06,21:00,Série A,Rodada da semana 4,sáb,Em casa,E,1.0,1.0,Vasco da Gama,1.8,0.7,79.0,,Nino,4-2-3-1,Wilton Sampaio,Relatório da Partida,Maracanã
7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Visitante,V,2.0,0.0,Cruzeiro,1.2,2.1,52.0,,Nino,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Mineirão
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,V,2.0,0.0,Cuiabá,0.9,0.9,61.0,,Nino,4-2-3-1,Edina Alves Batista,Relatório da Partida,Maracanã
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,0.0,1.0,Botafogo (RJ),0.9,1.4,65.0,,Nino,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Nilton Santos
11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Visitante,D,0.0,2.0,Corinthians,1.3,1.4,70.0,,Nino,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,Neo Química Arena
12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2.0,1.0,Bragantino,1.1,0.6,51.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã
14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Visitante,E,2.0,2.0,Goiás,1.3,2.1,59.0,,Nino,4-2-2-2,Leandro Pedro Vuaden,Relatório da Partida,Serrinha
15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Em casa,E,1.0,1.0,Atlético Mineiro,0.4,1.4,49.0,,Nino,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Sylvio Raulino de Oliveira
16,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Em casa,V,2.0,1.0,Bahia,3.0,1.0,49.0,24.507,Nino,4-2-3-1,Savio Pereira,Relatório da Partida,Maracanã
18,2023-07-01,16:00,Série A,Rodada da semana 13,sáb,Visitante,D,0.0,1.0,São Paulo,0.2,1.1,46.0,,Felipe Melo,4-2-3-1,Anderson Daronco,Relatório da Partida,Morumbi
