,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
5,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,E,1.0,1.0,Internacional,1.5,0.9,48.0,,Guilherme Tinga,4-2-2-2,Edina Alves Batista,Relatório da Partida,Castelão
7,2023-04-23,18:30,Série A,Rodada da semana 2,dom,Visitante,V,3.0,0.0,Coritiba,2.6,0.7,42.0,,Guilherme Tinga,4-4-2,Wilton Sampaio,Relatório da Partida,Couto Pereira
8,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Em casa,V,4.0,2.0,Fluminense,5.3,1.5,31.0,,Guilherme Tinga,4-4-2,Raphael Claus,Relatório da Partida,Castelão
10,2023-05-08,20:00,Série A,Rodada da semana 4,seg,Visitante,E,1.0,1.0,Corinthians,0.8,1.5,51.0,36.512,Guilherme Tinga,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Neo Química Arena
11,2023-05-11,20:00,Série A,Rodada da semana 5,qui,Em casa,E,0.0,0.0,São Paulo,0.8,0.8,44.0,,Guilherme Tinga,4-4-2,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Castelão
12,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Visitante,E,0.0,0.0,Grêmio,0.6,0.8,43.0,17.396,Titi,4-2-3-1,Bruno Mota Correia,Relatório da Partida,Arena do Grêmio
13,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,1.0,2.0,América (MG),1.2,0.8,72.0,,Guilherme Tinga,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,Independência
15,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Em casa,V,2.0,0.0,Vasco da Gama,1.5,0.7,49.0,,Guilherme Tinga,4-4-2,Edina Alves Batista,Relatório da Partida,Castelão
16,2023-06-03,16:00,Série A,Rodada da semana 9,sáb,Em casa,E,0.0,0.0,Bahia,0.6,0.3,55.0,38.338,Guilherme Tinga,4-2-3-1,João Vitor Gobi,Relatório da Partida,Castelão
18,2023-06-10,21:00,Série A,Rodada da semana 10,sáb,Visitante,D,0.0,2.0,Botafogo (RJ),0.4,3.7,46.0,,Guilherme Tinga,4-4-2,Wilton Sampaio,Relatório da Partida,Nilton Santos
19,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Visitante,V,1.0,0.0,Cruzeiro,1.8,1.1,33.0,28.494,Guilherme Tinga,4-4-2,Bruno Arleu de Araujo,Relatório da Partida,Mineirão
20,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Em casa,V,2.0,1.0,Atlético Mineiro,0.8,1.0,42.0,,Guilherme Tinga,3-5-2,Leandro Pedro Vuaden,Relatório da Partida,Castelão
22,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Visitante,D,0.0,2.0,Flamengo,1.5,1.4,42.0,,Guilherme Tinga,5-3-2,Savio Pereira,Relatório da Partida,Maracanã
