,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Visitante,D,0.0,2.0,Atl Paranaense,1.0,0.8,56.0,,Tadeu,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Ligga Arena
3,2023-04-23,19:00,Série A,Rodada da semana 2,dom,Em casa,V,3.0,1.0,Corinthians,1.2,0.5,52.0,8.508,Tadeu,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Serrinha
4,2023-04-30,18:30,Série A,Rodada da semana 3,dom,Visitante,D,0.0,1.0,Internacional,0.8,0.9,43.0,,Tadeu,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Beira-Rio
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,D,0.0,5.0,Palmeiras,0.7,2.0,44.0,,Lucas Halter,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Serrinha
7,2023-05-10,20:00,Série A,Rodada da semana 5,qua,Visitante,D,0.0,2.0,Flamengo,0.7,2.6,43.0,,Vinícius,4-2-3-1,Savio Pereira,Relatório da Partida,Maracanã
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,V,2.0,1.0,Botafogo (RJ),1.9,1.5,47.0,6.674,Lucas Halter,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,Serrinha
9,2023-05-20,16:00,Série A,Rodada da semana 7,sáb,Visitante,E,1.0,1.0,Bahia,0.9,2.3,50.0,,Tadeu,4-4-2,Denis da Silva Ribeiro Serafim,Relatório da Partida,Fonte Nova
11,2023-05-27,21:00,Série A,Rodada da semana 8,sáb,Visitante,D,1.0,2.0,São Paulo,0.3,0.9,33.0,,Tadeu,4-4-2,Rafael Rodrigo Klein,Relatório da Partida,Morumbi
12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,D,0.0,1.0,Cuiabá,0.4,1.2,55.0,,Tadeu,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,Serrinha
14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Em casa,E,2.0,2.0,Fluminense,2.1,1.3,41.0,,Tadeu,4-5-1,Leandro Pedro Vuaden,Relatório da Partida,Serrinha
15,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Visitante,V,1.0,0.0,Vasco da Gama,0.4,1.7,41.0,,Tadeu,4-5-1,Jean Pierre Goncalves Lima,Relatório da Partida,São Januário
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Visitante,D,0.0,2.0,Bragantino,0.2,1.8,41.0,,Tadeu,4-5-1,Bruno Mota Correia,Relatório da Partida,Nabi Abi Chedid
18,2023-07-03,20:00,Série A,Rodada da semana 13,seg,Em casa,D,1.0,2.0,Coritiba,1.9,0.9,63.0,10.394,Tadeu,4-2-3-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,Serrinha
