,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-16,18:30,Série A,Rodada da semana 1,dom,Em casa,V,1.0,0.0,Santos,1.6,1.2,45.0,,Walter Kannemann,4-2-3-1,Wilton Sampaio,Relatório da Partida,Alfredo Jaconi
1,2023-04-22,21:00,Série A,Rodada da semana 2,sáb,Visitante,D,0.0,1.0,Cruzeiro,0.8,1.5,51.0,21.605,Walter Kannemann,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Independência
2,2023-04-30,17:30,Série A,Rodada da semana 3,dom,Visitante,V,2.0,1.0,Cuiabá,1.7,1.2,50.0,,Walter Kannemann,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Arena Pantanal
3,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,E,3.0,3.0,Bragantino,1.7,1.8,42.0,,Luis Suárez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Arena do Grêmio
4,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Visitante,D,1.0,4.0,Palmeiras,0.1,3.8,41.0,,Walter Kannemann,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,Allianz Parque
5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,0.0,0.0,Fortaleza,0.8,0.6,57.0,17.396,Walter Kannemann,4-2-3-1,Bruno Mota Correia,Relatório da Partida,Arena do Grêmio
6,2023-05-21,18:30,Série A,Rodada da semana 7,dom,Em casa,V,3.0,1.0,Internacional,1.7,1.5,30.0,39.438,Walter Kannemann,3-4-3,Flavio Rodrigues de Souza,Relatório da Partida,Arena do Grêmio
7,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Visitante,V,2.0,1.0,Atl Paranaense,0.7,1.3,34.0,,Bruno Fabiano Alves,3-4-3,Savio Pereira,Relatório da Partida,Ligga Arena
8,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2.0,1.0,São Paulo,1.9,1.1,40.0,,Walter Kannemann,3-4-3,Wilton Sampaio,Relatório da Partida,Arena do Grêmio
9,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Visitante,D,0.0,3.0,Flamengo,2.0,1.9,48.0,,Walter Kannemann,5-4-1,Savio Pereira,Relatório da Partida,Maracanã
10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,V,3.0,1.0,América (MG),2.4,0.8,72.0,,Luis Suárez,4-2-3-1,Edina Alves Batista,Relatório da Partida,Arena do Grêmio
11,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,V,5.0,1.0,Coritiba,3.4,1.1,50.0,37.048,Walter Kannemann,4-2-3-1,João Vitor Gobi,Relatório da Partida,Arena do Grêmio
12,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Visitante,V,2.0,1.0,Bahia,2.8,1.9,53.0,34.09,Walter Kannemann,5-4-1,Marcelo de Lima Henrique,Relatório da Partida,Fonte Nova
