,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Visitante,E,1.0,1.0,Fortaleza,0.9,1.5,52.0,,Alan Patrick,4-2-3-1,Edina Alves Batista,Relatório da Partida,Castelão
3,2023-04-23,11:00,Série A,Rodada da semana 2,dom,Em casa,V,2.0,1.0,Flamengo,1.1,1.5,36.0,,Alan Patrick,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Beira-Rio
4,2023-04-30,18:30,Série A,Rodada da semana 3,dom,Em casa,V,1.0,0.0,Goiás,0.9,0.8,57.0,,Renê,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Beira-Rio
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Visitante,D,0.0,2.0,São Paulo,0.8,1.9,58.0,46.093,Alan Patrick,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Morumbi
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,D,0.0,2.0,Atl Paranaense,1.0,1.5,47.0,,Alan Patrick,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Beira-Rio
8,2023-05-13,21:00,Série A,Rodada da semana 6,sáb,Visitante,D,0.0,2.0,Atlético Mineiro,0.3,2.0,46.0,36.08,Gabriel Mercado,4-2-3-1,Raphael Claus,Relatório da Partida,Mineirão
9,2023-05-21,18:30,Série A,Rodada da semana 7,dom,Visitante,D,1.0,3.0,Grêmio,1.5,1.7,70.0,39.438,Alan Patrick,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Arena do Grêmio
11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Em casa,V,2.0,0.0,Bahia,0.9,1.1,44.0,,Alan Patrick,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio
12,2023-06-03,21:00,Série A,Rodada da semana 9,sáb,Visitante,E,1.0,1.0,Santos,1.1,1.4,44.0,9.6,Alan Patrick,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Vila-Belmiro
14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Em casa,V,2.0,1.0,Vasco da Gama,1.6,0.9,47.0,18.044,Alan Patrick,4-2-3-1,Edina Alves Batista,Relatório da Partida,Beira-Rio
15,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Visitante,V,1.0,0.0,Coritiba,0.9,1.5,49.0,,Alan Patrick,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,Couto Pereira
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Visitante,V,2.0,1.0,América (MG),1.0,1.3,60.0,,Rodrigo Moledo,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Independência
18,2023-07-01,21:00,Série A,Rodada da semana 13,sáb,Em casa,E,0.0,0.0,Cruzeiro,1.8,1.0,54.0,,Gabriel Mercado,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Beira-Rio
