,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Cuiabá,3.0,1.0,52.0,35.835,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Allianz Parque
3,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Visitante,E,2.0,2.0,Vasco da Gama,0.7,1.4,64.0,,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,São Januário
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,2.0,1.0,Corinthians,1.4,0.5,54.0,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,Allianz Parque
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,V,5.0,0.0,Goiás,2.0,0.7,57.0,,Gustavo Gómez,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,Serrinha
7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,V,4.0,1.0,Grêmio,3.8,0.1,59.0,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Allianz Parque
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,E,1.0,1.0,Bragantino,1.6,1.0,58.0,,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,Allianz Parque
9,2023-05-20,21:00,Série A,Rodada da semana 7,sáb,Visitante,E,0.0,0.0,Santos,0.4,0.4,61.0,,Gustavo Gómez,4-2-3-1,Raphael Claus,Relatório da Partida,Vile-Belmiro
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Visitante,E,1.0,1.0,Atlético Mineiro,1.1,0.8,43.0,53.236,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Mineirão
12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,V,3.0,1.0,Coritiba,2.5,0.6,51.0,,Gustavo Gómez,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,Allianz Parque
14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Visitante,V,2.0,0.0,São Paulo,0.7,1.4,35.0,,Luan Garcia,4-2-3-1,Raphael Claus,Relatório da Partida,Morumbi
15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Visitante,D,0.0,1.0,Bahia,0.8,1.1,54.0,31.013,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,Fonte Nova
16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,D,0.0,1.0,Botafogo (RJ),2.6,0.8,64.0,38.877,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,Allianz Parque
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Visitante,E,2.0,2.0,Atl Paranaense,1.5,3.8,46.0,,Gustavo Gómez,3-5-2,Jean Pierre Goncalves Lima,Relatório da Partida,Ligga Arena
