,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-16,18:30,Série A,Rodada da semana 1,dom,Visitante,D,0.0,1.0,Grêmio,1.2,1.6,55.0,,João Paulo,4-3-3,Wilton Sampaio,Relatório da Partida,Alfredo Jaconi
3,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Em casa,E,0.0,0.0,Atlético Mineiro,0.8,1.2,37.0,,João Paulo,4-4-2,Braulio da Silva Machado,Relatório da Partida,Vila-Belmiro
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,3.0,2.0,América (MG),1.8,1.8,44.0,,Yeferson Soteldo,4-3-3,Anderson Daronco,Relatório da Partida,Vila-Belmiro
6,2023-05-06,16:00,Série A,Rodada da semana 4,sáb,Visitante,D,1.0,2.0,Cruzeiro,1.0,1.6,45.0,,João Paulo,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Independência
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,V,3.0,0.0,Bahia,2.0,1.3,41.0,,João Paulo,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,Vila-Belmiro
8,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Visitante,V,1.0,0.0,Vasco da Gama,0.6,1.7,32.0,18.476,João Paulo,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,São Januário
9,2023-05-20,21:00,Série A,Rodada da semana 7,sáb,Em casa,E,0.0,0.0,Palmeiras,0.4,0.4,39.0,,João Paulo,4-2-3-1,Raphael Claus,Relatório da Partida,Vila-Belmiro
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Visitante,D,0.0,2.0,Bragantino,0.3,1.5,41.0,5.988,Yeferson Soteldo,4-2-3-1,Anderson Daronco,Relatório da Partida,Nabi Abi Chedid
12,2023-06-03,21:00,Série A,Rodada da semana 9,sáb,Em casa,E,1.0,1.0,Internacional,1.4,1.1,56.0,9.6,Alison,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Vila-Belmiro
14,2023-06-10,16:00,Série A,Rodada da semana 10,sáb,Visitante,E,0.0,0.0,Coritiba,0.8,1.2,53.0,25.987,Alison,4-2-3-1,Bruno Mota Correia,Relatório da Partida,Couto Pereira
15,2023-06-21,20:00,Série A,Rodada da semana 11,qua,Em casa,D,0.0,2.0,Corinthians,0.8,1.3,51.0,12.499,Yeferson Soteldo,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,Vila-Belmiro
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,D,2.0,3.0,Flamengo,1.7,0.8,33.0,,Yeferson Soteldo,4-2-3-1,Wilton Sampaio,Relatório da Partida,Vila-Belmiro
18,2023-07-02,17:30,Série A,Rodada da semana 13,dom,Visitante,D,0.0,3.0,Cuiabá,0.3,1.1,52.0,,João Paulo,4-2-3-1,Bruno Mota Correia,Relatório da Partida,Arena Pantanal
