,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Visitante,D,1.0,2.0,Botafogo (RJ),2.0,0.9,67.0,,Jonathan Calleri,4-1-4-1,Ramon Abatti Abel,Relatório da Partida,Nilton Santos
3,2023-04-22,18:30,Série A,Rodada da semana 2,sáb,Em casa,V,3.0,0.0,América (MG),2.4,1.1,53.0,41.006,Robert Arboleda,4-1-3-2,Wagner do Nascimento Magalhães,Relatório da Partida,Morumbi
4,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Visitante,E,1.0,1.0,Coritiba,1.1,1.8,67.0,,Luciano,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Couto Pereira
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,2.0,0.0,Internacional,1.9,0.8,42.0,46.093,Rafinha,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,Morumbi
7,2023-05-11,20:00,Série A,Rodada da semana 5,qui,Visitante,E,0.0,0.0,Fortaleza,0.8,0.8,56.0,,Jonathan Calleri,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Castelão
8,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Visitante,E,1.0,1.0,Corinthians,0.9,0.9,66.0,41.118,Rafinha,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Neo Química Arena
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,4.0,2.0,Vasco da Gama,2.3,1.1,52.0,,Rafinha,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,Morumbi
11,2023-05-27,21:00,Série A,Rodada da semana 8,sáb,Em casa,V,2.0,1.0,Goiás,0.9,0.3,67.0,,Rafinha,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,Morumbi
12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Visitante,D,1.0,2.0,Grêmio,1.1,1.9,60.0,,Jonathan Calleri,3-4-3,Wilton Sampaio,Relatório da Partida,Arena do Grêmio
14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Em casa,D,0.0,2.0,Palmeiras,1.4,0.7,65.0,,Rafinha,4-2-3-1,Raphael Claus,Relatório da Partida,Morumbi
15,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Em casa,V,2.0,1.0,Atl Paranaense,0.6,1.2,56.0,22.882,Rafinha,4-2-3-1,Savio Pereira,Relatório da Partida,Morumbi
16,2023-06-24,21:00,Série A,Rodada da semana 12,sáb,Visitante,D,0.0,1.0,Cruzeiro,1.4,0.5,69.0,,Rafinha,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Independência
18,2023-07-01,16:00,Série A,Rodada da semana 13,sáb,Em casa,V,1.0,0.0,Fluminense,1.1,0.2,54.0,,Rafinha,4-1-2-1-2◆,Anderson Daronco,Relatório da Partida,Morumbi
