,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio
0,2023-04-15,21:00,Série A,Rodada da semana 1,sáb,Visitante,V,2.0,1.0,Atlético Mineiro,1.5,1.5,26.0,,Léo Pelé,4-3-3,Raphael Claus,Relatório da Partida,Mineirão
1,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Em casa,E,2.0,2.0,Palmeiras,1.4,0.7,36.0,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,São Januário
2,2023-05-01,20:00,Série A,Rodada da semana 3,seg,Em casa,D,0.0,1.0,Bahia,0.9,1.1,55.0,,Léo Pelé,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,São Januário
3,2023-05-06,21:00,Série A,Rodada da semana 4,sáb,Visitante,E,1.0,1.0,Fluminense,0.7,1.8,21.0,,Léo Pelé,4-3-3,Wilton Sampaio,Relatório da Partida,Maracanã
4,2023-05-11,19:00,Série A,Rodada da semana 5,qui,Visitante,E,1.0,1.0,Coritiba,0.8,1.0,64.0,,Léo Pelé,4-3-3,Ramon Abatti Abel,Relatório da Partida,Couto Pereira
5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,D,0.0,1.0,Santos,1.7,0.6,68.0,18.476,Léo Pelé,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,São Januário
6,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,2.0,4.0,São Paulo,1.1,2.3,48.0,,Léo Pelé,4-3-3,Leandro Pedro Vuaden,Relatório da Partida,Morumbi
7,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Visitante,D,0.0,2.0,Fortaleza,0.7,1.5,51.0,,Léo Pelé,4-3-3,Edina Alves Batista,Relatório da Partida,Castelão
8,2023-06-05,20:00,Série A,Rodada da semana 9,seg,Em casa,D,1.0,4.0,Flamengo,1.5,1.1,45.0,,Léo Pelé,3-4-3,Braulio da Silva Machado,Relatório da Partida,Maracanã
9,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Visitante,D,1.0,2.0,Internacional,0.9,1.6,53.0,18.044,Léo Pelé,4-1-2-1-2◆,Edina Alves Batista,Relatório da Partida,Beira-Rio
10,2023-06-22,20:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Goiás,1.7,0.4,59.0,,Léo Pelé,4-3-1-2,Jean Pierre Goncalves Lima,Relatório da Partida,São Januário
11,2023-06-26,21:00,Série A,Rodada da semana 12,seg,Em casa,V,1.0,0.0,Cuiabá,1.8,0.5,45.0,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,São Januário
12,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Visitante,D,0.0,2.0,Botafogo (RJ),0.9,1.5,40.0,,Léo Pelé,4-2-3-1,Raphael Claus,Relatório da Partida,Nilton Santos
